DV: Throughput (bps)
F1: Navigation method, Positional, Rotational
F2: Selection method, Smile, Blink, Dwell
F3: .
F4: .
F5: .
F6: .
F7: .
0.555	0.546	0.433	0.506	0.360	0.137
0.472	0.621	0.376	0.655	0.519	0.407
0.692	0.505	0.613	0.375	0.466	0.157
0.743	0.712	0.621	0.594	0.361	0.488
0.677	0.603	0.535	0.438	0.262	0.282
0.636	0.618	0.603	0.401	0.200	0.328
0.461	0.652	0.413	0.440	0.409	0.254
0.634	0.642	0.601	0.400	0.547	0.453
0.517	0.513	0.429	0.328	0.064	0.092
0.493	0.433	0.477	0.413	0.400	0.188
0.588	0.522	0.609	0.381	0.231	0.385
0.785	0.708	0.688	0.409	0.259	0.462
