80,18,7,41,35,3,99,65,93,72,61,91,10,43,87,29,80,32,17,2,63,25,1,20,35
74,83,25,8,86,93,45,64,66,10,82,9,22,41,20,90,94,65,96,7,12,13,15,1,13
20,95,11,96,37,40,69,92,16,57,96,97,19,87,77,54,89,94,78,21,51,76,82,33,92
6,74,66,53,16,100,87,71,50,55,63,30,2,81,71,62,3,61,79,62,87,95,62,12,91
68,48,82,38,100,35,26,84,55,20,18,11,98,39,40,30,15,14,81,27,99,51,78,8,10
4,45,5,39,19,38,28,45,89,87,43,59,50,32,3,82,86,93,79,95,55,79,32,39,3
38,59,25,29,96,16,91,88,89,23,92,97,85,79,76,46,10,100,80,31,3,41,79,53,12
25,24,69,44,75,14,99,40,41,80,68,10,30,60,24,31,46,88,5,1,25,35,96,67,35
23,75,77,43,80,79,30,92,58,38,78,20,56,5,62,29,84,90,58,32,32,93,92,20,89
70,36,80,66,47,17,10,49,70,60,98,63,93,80,9,90,60,53,47,66,42,42,65,53,62
